YEAR,BEST ORIGINAL SONG,URI,WON (yes=1 no=0),Notes,Lyrics
1996,I Finally Found Someone,2WthqeuPLwn0CHwCMrlt6L,0,,"I finally found someone, who knocks me off my feet;
[Bryan:] I finally found the one who makes me feel complete...
[Barbara:] It started over coffee, we started out as friends;
[Barbara:] It's funny how from simple things; the best things begin...
[Bryan:] This time is different;
[Barbara:] la la la la
[Bryan:] It's all because of you!..
[Bryan:] It's better than it's ever been;
[Together:] Cuz we can talk it through;
[Barbara:] My favorite line was ""Can I call you sometime?"";
[Barbara:] It's all you had to say...
[Together:] To take my breath away... 
This is it!
[Together:] Oh, I finally found someone; Someone to share my life;
[Together:] I finally found the one - to be with every night;
[Barbara:] Cause whatever I do
[Bryan:] It's just got to be you!
[Together:] My life has just begun, I finally found someone... 
Did I keep you waiting?
[Barbara:] I didn't mind
[Bryan:] I apologize
[Barbara:] Baby, that's fine
[Bryan:] I would wait forever
[Together:] Just to know you were mine;
[Bryan:] Ya Know - I love your hair...
[Barbara:] Are you sure it looks right?
[Bryan:] I love what you wear...
[Barbara:] Isn't it too tight?
[Bryan:] You're exceptional!
[Together:] I can't wait for the rest of my life... 
Oh This Is It!
[Together:] I finally found someone; Someone to share my life,
[Together:] I finally found the one; to be with every night...
[Barbara:] Cause whatever I do
[Bryan:] It's just got to be you
[Together:] My life has just begun; I finally found someone...
[Barbara:] And whatever I do.
[Bryan:] It's just got to be you!
[Barbara:] My life has just begun...
[Together:] I finally found someone"
1996,For the First Time,6qtlVfQ7llt0dthJS14JEA,0,,"Are those your eyes, is that your smile?
I've been lookin' at you forever
But I never saw you before
Are these your hands holdin' mine
Now I wonder how I could have been so blind
For the first time I am looking in your eyes
For the first time I'm seein' who you are
I can't believe how much I see
When you're lookin' back at me
Now I understand what love is, love is 
For the first time
Can this be real, can this be true?
Am I the person I was this morning
And are you the same you ?
It's all so strange how can it be
All along this love was right in front of me
For the first time I am looking in your eyes
For the first time I'm seein' who you are
I can't believe how much I see
When you're lookin' back at me
Now I understand what love is, love is 
For the first time
Such a long time ago
I had given up on findin' this emotion ever again
But you live with me now
Yes I've found you somehow
And I've never been so sure
And for the first time I am looking in your eyes
For the first time I'm seein' who you are
I can't believe how much I see
When you're lookin back at me
Now I understand why love is, love is 
For the first time"
1996,That Thing You Do!,4O6ZaZrRCFfiZZKjnrXqlk,0,,"You, doin' that thing you do
Breaking my heart into a million pieces, like you always do
And you, don't mean to be cruel
You never even knew about the heartache
I've been goin' through
Well, I try and try to forget you girl
But it's just so hard to do
Every time you do that thing you do
And I, know all the games you play
And I'm gonna find a way to let you know that
You'll be mine someday
Cause we, could be happy, can't you see
If you'd only let me be the one to hold you,
And keep you here with me
'Cause I try and try to forget you girl
But it's just so hard to do
Every time you do that thing you do
I don't ask a lot girl but I know one thing's for sure
It's the love I haven't got girl
And I just can't take it anymore (whoa!)
Cause we, could be happy, can't you see
If you'd only let me be the one to hold you,
And keep you here with me
'Cause it hurts me so just to see you go
Around with someone new
And if I know you, you're doin' that thing
Every day, just doin' that thing
I can't take you doin' that thing you do"
1996,Because You Loved Me,28UMiBhn383n9S7GL4tsxD,0,,"For all those times you stood by me
For all the truth that you made me see
For all the joy you brought to my life
For all the wrong that you made right
For every dream you made come true
For all the love I found in you
I'll be forever thankful, baby
You're the one who held me up
Never let me fall
You're the one who saw me through through it all
You were my strength when I was weak
You were my voice when I couldn't speak
You were my eyes when I couldn't see
You saw the best there was in me
Lifted me up when I couldn't reach
You gave me faith 'cause you believed
I'm everything I am
Because you loved me
You gave me wings and made me fly
You touched my hand, I could touch the sky
I lost my faith, you gave it back to me
You said no star was out of reach
You stood by me and I stood tall
I had your love I had it all
I'm grateful for each day you gave me
Maybe I don't know that much
But I know this much is true
I was blessed because I was loved by you
You were my strength when I was weak
You were my voice when I couldn't speak
You were my eyes when I couldn't see
You saw the best there was in me
Lifted me up when I couldn't reach
You gave me faith 'cause you believed
I'm everything I am
Because you loved me
You were always there for me
The tender wind that carried me
A light in the dark shining your love into my life
You've been my inspiration
Through the lies you were the truth
My world is a better place because of you
You were my strength when I was weak
You were my voice when I couldn't speak
You were my eyes when I couldn't see
You saw the best there was in me
Lifted me up when I couldn't reach
You gave me faith 'cause you believed
I'm everything I am
Because you loved me
You were my strength when I was weak
You were my voice when I couldn't speak
You were my eyes when I couldn't see
You saw the best there was in me
Lifted me up when I couldn't reach
You gave me faith 'cause you believed
I'm everything I am
Because you loved me
I'm everything I am
Because you loved me"
1995,Colors of the Wind,1OYOLWqKmhkFIx2KC9ek1a,1,,"You think I'm an ignorant savage
And you've been so many places
I guess it must be so
But still I cannot see
If the savage one is me
How can there be so much that you don't know
You don't know
You think you own whatever land you land on
The Earth is just a dead thing you can claim
But I know every rock and tree and creature
Has a life, has a spirit, has a name
You think the only people who are people
Are the people who look and think like you
But if you walk the footsteps of a stranger
You'll learn things you never knew, you never knew
Have you ever heard the wolf cry to the blue corn moon
Or asked the grinning bobcat why he grinned
Can you sing with all the voices of the mountains
Can you paint with all the colors of the wind
Can you paint with all the colors of the wind
Come run the hidden pine trails of the forest
Come taste the sun sweet berries of the Earth
Come roll in all the riches all around you
And for once, never wonder what they're worth
The rainstorm and the river are my brothers
The heron and the otter are my friends
And we are all connected to each other
In a circle, in a hoop that never ends
How high will the sycamore grow
If you cut it down, then you'll never know
And you'll never hear the wolf cry to the blue corn moon
For whether we are white or copper skinned
We need to sing with all the voices of the mountains
We need to paint with all the colors of the wind
You can own the Earth and still
All you'll own is Earth until
You can paint with all the colors of the wind"
1995,Dead Man Walkin,67xajm8BFcu46VmOuIuPq9,0,,"There's a pale horse comin'
And I'm gonna ride it
I'll rise in the morning
My fate decided it
I'm a dead man walkin'
I'm a dead man walkin'

In Saint James Parish
I was born and Christened
Now I've got my story
Mister, ain't no need for you to listen
It's just a dead man talkin'

Once I had a job, I had a girl
Between our dreams and actions lies this world

Hey in the deep forest
Their blood and tears rushed over me
All I could feel was the drugs and the shotgun
And my fear up inside me
Like a dead man talkin'

'Neath the summer sky my eyes went black
Sister I won't ask for forgiveness, my sins are all I have

Now the clouds above my prison
Move slowly 'cross the sky
There's a new day comin'
And my dreams are full tonight"
1995,Have You Ever Really Loved a Woman,6a5Gi94rOk6cpK5NDk1s1x,0,,"To really love a woman 
To understand her you gotta know her deep inside
Hear every thought see every dream 
And give her wings when she wants to fly 
Then when you find yourself lyin' helpless in her arms
You know ya really love a woman 
When you love a woman you tell her that she's really wanted 
When you love a woman you tell her that she's the one 
'Cause she needs somebody to tell her that it's gonna last forever 
So tell me have you ever really 
Really really ever loved a woman? 
To really love a woman 
Let her hold you 
'Til ya know how she needs to be touched 
You've gotta breathe her really taste her 
'Til you can feel her in your blood 
And when you can see your unborn children in her eyes 
You know ya really love a woman 
When you love a woman 
You tell her that she's really wanted 
When you love a woman you tell her that she's the one
'Cause she needs somebody to tell her that you'll always be together 
So tell me have you ever really 
Really really ever loved a woman? 
You got to give her some faith hold her tight
A little tenderness gotta treat her right 
She will be there for you, takin' good care of you 
You really gotta love your woman, yeah
Then when you find yourself lyin' helpless in her arms
You know ya really love a woman
When you love a woman you tell her that she's really wanted 
When you love a woman you tell her that she's the one 
'Cause she needs somebody to tell her that it's gonna last forever 
So tell me have you ever really 
Really really ever loved a woman? 
So tell me have you ever really 
Really really ever loved a woman? 
Just tell me have you ever really 
Really really ever loved a woman?"
1995,Moonlight,,0,Not on Spotify,"In the moonlight
When the shadows play
When the thought of what could happen
Takes your breath away
Sighs and whispers
Quiet laughter in the air
Unspoken invitations everywhere

In the moonlight
All the words you say
Make it relatively easy
To be swept away
In the half light
Can we trust the way we feel
Can we be sure that anything is real?

Stars keep secrets as they wander indiscretely
While the echoes of a song go drifting by
We must be careful not to lose our way completely
Or the magic that we seek here
We can't be sure will be here

In the morning
With the moon away
And if in each other's arms
Is where we're meant to stay

In the love light
When our eyes have grown accustomed to the daylight
We'll see what waits for us to share
For all the things we've dreamed of in the moonlight
Will be there "
1995,You've Got a Friend in Me,2stkLJ0JNcXkIRDNF3ld6c,0,,"You've got a friend in me
You've got a friend in me
When the road looks rough ahead
And you're miles and miles
From your nice warm bed
You just remember what your old pal said
Boy, you've got a friend in me
Yeah, you've got a friend in me
You've got a friend in me
You've got a friend in me
If you've got troubles, I've got 'em too
There isn't anything I wouldn't do for you
We stick together and can see it through
'Cause you've got a friend in me
Yeah, you've got a friend in me
Some other folks might be
A little bit smarter than I am
Bigger and stronger too, maybe
But none of them will ever love you
The way I do, it's me and you, boy
And as the years go by
Our friendship will never die
You're gonna see it's our destiny
You've got a friend in me
You've got a friend in me
Yeah, you've got a friend in me"
1994,Can You Feel the Love Tonight,0EANX0OVKSCcmarY50Xa4p,1,,"There's a calm surrender
To the rush of day
When the heat of a rolling wave
Can be turned away
An enchanted moment
And it sees me through
It's enough for this restless warrior
Just to be with you
And can you feel the love tonight?
It is where we are
It's enough for this wide-eyed wanderer
That we've got this far
And can you feel the love tonight? (Tonight)
How it's laid to rest?
It's enough to make kings and vagabonds
Believe the very best
There's a time for everyone
If they only learn
That the twisting kaleidoscope
Moves us all in turn
There's a rhyme and reason
To the wild outdoors
When the heart of this star-crossed voyager
Beats in time with yours
And can you feel the love tonight? (Tonight)
It is where we are
It's enough for this wide-eyed wanderer
That we've got this far
And can you feel the love tonight? (Tonight)
How it's laid to rest?
It's enough to make kings and vagabonds
Believe the very best
It's enough to make kings and vagabonds
Believe the very best"
1994,Look What Love Has Done,,0,Not on Spotify,"I woke up this morning feeling lonely
There's so much my heart just does not understand
There were times when nothing really mattered
But now i find i care too much
There's life in everything i touch
Look what love has done to me
I am not who i used to be
Everything is changing, now we'll never be the same
Look at what love has done to us
Will we ever learn to trust
We're running out of time, there's so little time
Baby look what love has done to me
Oh, yeah
Now it's late at night, i'm here without you
I'm trying to make my way to where you are
Can't you see, i'll still be here waiting
Can't you see, our two hearts were always meant to be as one
Look at what love has done to us
When will we ever learn to trust
We're running out of time, there's so little time, baby
Will you look what love has done to me
I'm calling out your name, baby
Calling out, calling out, yeah, yeah, yeah
Now look at what love has done to us
When will we ever learn to trust
We're running out of time
There's so, so little time, baby
Oh, look what love has done
Baby look what love has done to me
Look what love has done
Done to me"
1994,Circle of Life,5vKkaZHPzuqQheytfKuXzp,0,,"From the day we arrive on the planet
And blinking, step into the sun
There's more to be seen than can ever be seen
More to do than can ever be done
Some say eat or be eaten
Some say live and let live
But all are agreed as they join the stampede
You should never take more than you give
In the circle of life
It's the wheel of fortune
It's the leap of faith
It's the band of hope
'Til we find our place
On the path unwinding
In the circle, the circle of life
Some of us fall by the wayside
And some of us soar to the stars
And some of us sail through our troubles
And some have to live with the scars
There's far too much to take in here
More to find than can ever be found
But the sun rolling high through the sapphire sky
Keeps great and small on the endless round
In the circle of life
It's the wheel of fortune
It's the leap of faith
It's the band of hope
'Til we find our place
On the path unwinding
In the circle, the circle of life
It's the wheel of fortune
It's the leap of faith
It's the band of hope
'Til we find our place
On the path unwinding
In the circle, the circle of life
On the path unwinding, yeah
In the circle, the circle of life"
1994,Hakuna Matata,5k3U0OGYBccHdKJJu3HrUN,0,,"Hakuna Matata! What a wonderful phrase
Hakuna Matata! Ain't no passing craze
It means no worries for the rest of your days
It's our problem-free philosophy
Hakuna Matata!
Hakuna Matata?
Yeah. It's our motto!
What's a motto?
Nothing. What's a-motto with you?
Those two words will solve all your problems
That's right. Take Pumbaa here
Why, when he was a young warthog
When I was a young wart hog
Very nice
Thanks
He found his aroma lacked a certain appeal
He could clear the savannah after every meal
I'm a sensitive soul though I seem thick-skinned
And it hurt that my friends never stood downwind
And oh, the shame He was ashamed
Thought of changin' my name What's in a name?
And I got downhearted How did ya feel?
Everytime that I
Hey! Pumbaa! Not in front of the kids!
Oh. Sorry
Hakuna Matata! What a wonderful phrase
Hakuna Matata! Ain't no passing craze
It means no worries for the rest of your days
It's our problem-free philosophy
Hakuna Matata!
Hakuna Matata! Hakuna matata!
Hakuna Matata! Hakuna matata!
Hakuna Matata! Hakuna matata!
Hakuna Matata! Hakuna--
It means no worries for the rest of your days
It's our problem-free philosophy
Hakuna Matata!
(Repeats)
I say ""Hakuna""
I say ""Matata"""
1994,Make Up Your Mind,0O3UX9xzM8Vz9YpqIAhTCo,0,,"I know how I got in trouble
I know how I came to grief
I know why people all over
Are disappointed with me
When I get up I want down
When I got thin I want fat fat fat fat
When I get square I want round
When I got this I want that
You'd better make up your mind
You'd better make up your mind
I understand what you're sayin' to me
Make up your mind
But I can't do it
Every time things look good, makes me feel bad
Each time a little bird of happiness flies by
It makes me feel so goddamn sad
I want to cry
(Make up your mind)
This little piggy went to the market
And that little piggy got caught up and put in a zoo
Last little piggy went waa waa waa waa waa waa
'Cause he didn't know what he was supposed to do
Comes a time in every man's life
When he must decide
Whether he want to drive a bus
Or just go along for the ride
You'd better make up your mind
Make up your mind
I understand you sister
Make up your mind
I understand you sister
Make up your mind
But I can't do it"
1993,Streets of Philadelphia,5Nj8kBJdpJJ4I9wxQyp8JH,1,,"I was bruised and battered, I couldn't tell what I felt
I was unrecognizable to myself
I saw my reflection in a window, I didn't know my own face
Oh brother are you gonna leave me wastin' away
On the Streets of Philadelphia

I walked the avenue, 'til my legs felt like stone
I heard the voices of friends vanished and gone
At night I could hear the blood in my veins
It was just as black and whispering as the rain
On the Streets of Philadelphia

Ain't no angel gonna greet me
It's just you and I, my friend
My clothes don't fit me no more
I walked a thousand miles
Just to slip this skin

The night has fallen, I'm lyin' awake
I can feel myself fading away
So receive me brother with your faithless kiss
Or will we leave each other alone like this
On the Streets of Philadelphia"
1993,The Day I Fall in Love,0bi3Yuwv936oMxD2VIK2Ci,0,,"Just an ordinary day
Started out the same old way
Then I looked into your eyes and knew
Today would be a first for me
The day I fall in love
On the day I fall in love
Sky will be a perfect blue
And I'll give my heart forever more
To someone who is just like you
The day I fall in love
People all say love is wonderful
That the bells will ring
The birds will sing
The skies will open
I wonder where's that great big symphony
Roll over Beethoven
Won't you play with me
And I'll never promise to be true to anyone
Unless it's you
Unless it's you
The day I fall in love
People all say love is wonderful
That the bells will ring
The birds will sing
The skies will open
I wonder where's that great big symphony
Roll over Beethoven
Come on play with me
Just an ordinary day
Started out the same old way
Then I looked into your eyes and knew
Today will be a first for me
A first for me
The day I fall in love
I know you'll be there
Oh....I know...
The day I fall in love"
1993,Philadelphia,031qnPtpyM3f3kjxyAX0i9,0,Can't listen to song on Spotify ,"Sometimes I think that I know
What love's all about
And when I see the light
I know I'll be all right.

I've got my friends in the world,
I had my friends
When we were boys and girls
And the secrets came unfurled.

City of brotherly love
Place I call home
Don't turn your back on me
I don't want to be alone
Love lasts forever.

Someone is talking to me,
Calling my name
Tell me I'm not to blame
I won't be ashamed of love.

Philadelphia,
City of brotherly love.
Brotherly love.

Sometimes I think that I know
What love's all about
And when I see the light
I know I'll be all right.
Philadelphia."
1993,Again,0IaMMHVbpJ0LrRAeigWOXr,0,,"I heard from a friend today
And she said you were in town
Suddenly the memories came back to me
In my mind
How can I be strong I've asked myself
Time and time I've said
That I'll never fall in love with you again
A wounded heart you gave
My soul you took away
Good intentions you had many
I know you did
I come from a place that hurts
And God knows how I've cried
And I never want to return
never fall again
Making love to you
Oh it felt so good and
Oh so right
How can I be strong I've asked myself
Time and time I've said
That I'll never fall in love with you again
So here we are alone again'
Didn't think it'd come to this
And to know it all began
With just a little kiss
I've come too close to happiness
To have it swept away
Don't think I can take the pain
No never fall again
Kinda late in the game and my heart is in
Your hands
Don't you stand there and then
Tell me you love
Me then leave again
Cause I'm falling in love with
You again
Hold me
Hold me
Don't ever let me go
Say it just one time
Say you love me
God knows I do
Love you
Again"
1993,A Wink and a Smile,5XMJBKj01EU7asjQCAlYhu,0,,"I remember the days, of just keeping time
Of hanging around in sleepy towns, forever
Back roads empty for miles
Well you can't have a dream and cut it to fit
But when I saw you I knew, we'd go together
Like a wink and a smile
Leave your old jalopy
Buy the railroad track
We'll get a hip, double dip, tip toppy
Two seat Pontiac
So you can rev her up, don't go slow
It's only green lights and alright
Let's go together with a wink and a smile
Give me a wink and a smile
We go together like a wink and a smile
Now my heart is music, such a simple song
Sing it again the notes never end
This is where I belong
Just the sound of your voice
The light in your eyes
We're so far away from yesterday
Together, with a wink and a smile
We go together like a wink and a smile"
1992,A Whole New World,1hwdPQtFHISvZ9SXMkNrIK,1,,"I can show you the world
Shining, shimmering, splendid
Tell me, princess, now when did
You last let your heart decide?
I can open your eyes
Take you wonder by wonder
Over, sideways and under
On a magic carpet ride
A whole new world
A new fantastic point of view
No one to tell us, ""No""
Or where to go
Or say we're only dreaming
A whole new world
A dazzling place I never knew
But when I'm way up here
It's crystal clear
That now I'm in a whole new world with you
(Now I'm in a whole new world with you)
Unbelievable sights
Indescribable feeling
Soaring, tumbling, freewheeling
Through an endless diamond sky
A whole new world (don't you dare close your eyes)
A hundred thousand things to see (hold your breath, it gets better)
I'm like a shooting star, I've come so far
I can't go back to where I used to be
A whole new world
With new horizons to pursue
I'll chase them anywhere
There's time to spare
Let me share this whole new world with you
A whole new world (a whole new world)
A new fantastic point of view
No one to tell us, ""No""
Or where to go
Or say we're only dreaming
A whole new world (every turn, a surprise)
With new horizons to pursue (every moment, red-letter)
I'll chase them anywhere, there's time to spare
And then we're home (there's time to spare)
Let me share this whole new world with you
A whole new world (a whole new world)
That's where we'll be (that's where we'll be)
A thrilling chase (a wondrous place)
For you and me"
1992,Friend Like Me,3HQ9Dzqm9bYGAs4xVjcbYj,0,Can't listen to song on Spotify ,"Well Ali Baba had them forty thieves
Scheherezad-ie had a thousand tales
But master you in luck 'cause up your sleeves
You got a brand of magic never fails
You got some power in your corner now
Some heavy ammunition in your camp
You got some punch, pizzazz, yahoo and how
See all you gotta do is rub that lamp
And I'll say
Mister Aladdin, sir
What will your pleasure be?
Let me take your order
Jot it down
You ain't never had a friend like me
Life is your restaurant
And I'm your maitre d'
C'mon whisper what it is you want
You ain't never had a friend like me
Yes sir, we pride ourselves on service
You're the boss
The king, the shah
Say what you wish
It's yours, true dish
How about a little more Baklava?
Have some of column A
Try all of column B
I'm in the mood to help you dude
You ain't never had a friend like me
Can your friends do this?
Do your friends do that?
Do your friends pull this out their little hat?
Can your friends go poof?
Well, looky here
Can your friends go, Abracadabra, let 'er rip
And then make the sucker disappear?
So dontcha sit there slack-jawed, buggy-eyed
I'm here to answer all your midday prayers
You got me bona fide, certified
You got a genie for your chargé d'affaires
I got a powerful urge to help you out
So what-cha wish?
I really want to know
You got a list that's three miles long, no doubt
Well, all you gotta do is rub like so - and oh
Mister Aladdin, sir, have a wish or two or three
I'm on the job, you big nabob
You ain't never had a friend, never had a friend
You ain't never had a friend, never had a friend
You ain't never had a friend like me
You ain't never had a friend like me, hah!"
1992,I Have Nothing,31er9IGsfFbwqy1pH4aiTP,0,,"Share my life, take me for what I am
'Cause I'll never change all my colours for you
Take my love, I'll never ask for too much
Just all that you are and everything that you do

I don't really need to look very much further
I don't wanna have to go where you don't follow
I won't hold it back again, this passion inside
Can't run from myself
There's nowhere to hide

Don't make me close one more door
I don't wanna hurt anymore
Stay in my arms if you dare
Or must I imagine you there
Don't walk away from me...
I have nothing, nothing, nothing
If I don't have you, you, you, you, you

You see through right to the heart of me
You break down my walls with the strength of your love
I never knew love like I've known it with you
Will a memory survive, one I can hold on to

I don't really need to look very much further
I don't wanna have to go where you don't follow
I won't hold it back again, this passion inside
I can't run from myself
There's nowhere to hide
Your love I'll remember forever

Don't make me close one more door
I don't wanna hurt anymore
Stay in my arms if you dare
Or must I imagine you there
Don't walk away from me...
I have nothing, nothing, nothing...

Don't make me close one more door
I don't wanna hurt anymore
Stay in my arms if you dare
Or must I imagine you there
Don't walk away from me, no
Don't walk away from me
Don't you dare walk away from me
I have nothing, nothing, nothing
If I don't have you, you
If I don't have you, oh, ooh, ooh"
1992,Run to You,6M1M6cRtVkm5d0qTzkSEuK,0,,"I know that when you look at me
There's so much that you just don't see
But if you would only take the time
I know in my heart you'd find
A girl who's scared sometimes
Who isn't always strong
Can't you see the hurt in me?
I feel so all alone
I wanna run to you (ooh)
I wanna run to you (ooh)
Won't you hold me in your arms
And keep me safe from harm?
I want to run to you (ooh)
But if I come to you (ooh)
Tell me, will you stay or will you run away?
Each day, each day I play the role
Of someone always in control
But at night I come home and turn the key
There's nobody there, no one cares for me
Oh oh, what's the sense of trying hard to find your dreams
Without someone to share it with?
Tell me what does it mean
I wanna run to you (ooh)
I wanna run to you (ooh)
Won't you hold me in your arms
And keep me safe from harm?
I want to run to you (ooh)
But if I come to you (ooh)
Tell me, will you stay or will you run away?
Run away
Oh, I need you here
I need you here to wipe away my tears
To kiss away my fears
No (if you only knew) if you only knew how much
I wanna run to you (ooh)
I wanna run to you (ooh)
Won't you hold me in your arms
And keep me safe from harm?
I, I run to you (ooh)
But if I come to you, you
Tell me, will you stay or will you run away?"
1992,Beautiful Maria of My Soul,0YQgqnJOTMzFHV4oujvUwh,0,,"In the sunlight of your smile
In the summer of our life
In the magic of love
Storms above scattered away
Lovers dreaming in the night
Reaching for paradise
But as the dark shadows fade
Love slips away
On an empty stretch of beach
In the pattern of the waves
Drawing pictures with my hand
In the sand, I see your face
Skipping pebbles on the sea
Wishing for paradise
Sand castles crumble below
The restless tides ebb and flow
Listening to a shell
Hoping for your voice
Beautiful Maria of my soul
Though we'll always be apart
Locked forever in a dream
If I ever love again
Even then, nothing will change
And the taste of you remains
Clinging to paradise
But as the distance from you grows
All that my heart ever knows
Hunger for your kiss
Longing for your touch
Beautiful Maria of my soul
Filling all my nights
Haunting all my days"
1991,Beauty and the Beast,2rJFFUEl1LURkV0b0OARXx,1,,"Tale as old as time
True as it can be
Barely even friends
Then somebody bends
Unexpectedly
Just a little change
Small to say the least
Both a little scared
Neither one prepared
Beauty and the beast
Ever just the same
Ever a surprise
Ever as before and ever just as sure as the sun will rise
Ever just the same
Ever a surprise
Ever as before
Ever just as sure
As the sun will rise
Tale as old as time
Tune as old as song
Bittersweet and strange
Finding you can change
Learning you were wrong
Certain as the sun
Certain as the sun
Rising in the east
Tale as old as time
Song as old as rhyme
Beauty and the beast
Tale as old as time
Song as old as rhyme
Beauty and the beast
Beauty and the beast"
1991,Be Our Guest,6btdYzQ8eZFBrOlUKVHuz0,0,,"""Ma chere Mademoiselle, it is with deepest pride 
And greatest pleasure that we welcome you tonight
And now we invite you to relax, let us pull up a chair 
As the dining room proudly presents
Your dinner!""
Be our guest, be our guest
Put our service to the test
Tie your napkin 'round your neck, cherie
And we'll provide the rest
Soup du jour, hot hors d'oeuvres
Why, we only live to serve
Try the grey stuff, it's delicious
Don't believe me, ask the dishes
They can sing, they can dance
After all, miss, this is France
And a dinner here is never second best
Go on, unfold your menu
Take a glance and then you'll
Be our guest oui, our guest
Be our guest
Beef ragout, cheese soufflé
Pie and pudding, on flambé
We'll prepare and serve with flair
A culinary cabaret
You're alone and you're scared
But the banquet's all prepared
No one's gloomy or complaining
While the flatware's entertaining
We tell jokes, I do tricks
With my fellow candlesticks
And it's all in perfect taste that you can bet
Come on and lift your glass
You've won your own free pass
To be our guest if you're stressed
It's fine dining we suggest
Be our guest, be our guest, be our guest
Life is so unnerving
For a servant who's not serving
He's not whole without a soul to wait upon
Ah, those good old days when we were useful (hey Cogsworth)
Suddenly those good old days are gone
Too long we've been rusting
Needing so much more than dusting
Needing exercise, a chance to use our skills!
Most days we just lay around the castle
Flabby, fat and lazy
You walked in and oops-a-daisy!
It's a guest, it's a guest
Sake's alive, well I'll be blessed!
Wine's been poured and thank the Lord
I've had the napkins freshly pressed
With dessert, she'll want tea
And my dear that's fine with me
While the cups do their soft-shoein'
I'll be bubbling, I'll be brewing
I'll get warm, piping hot
Heaven's sakes! Is that a spot?
Clean it up, we want the company impressed
We've got a lot to do!
Is it one lump or two?
For you, our guest (she's our guest)
She's our guest (she's our guest)
Be our guest, be our guest!
Our command is your request
It's been years since we've had anybody here
And we're obsessed
With your meal, with your ease
Yes, indeed, we aim to please
While the candlelight's still glowing
Let us help you, we'll keep going
Course by course, one by one
'Til you shout, ""enough I'm done!""
Then we'll sing you off to sleep as you digest
Tonight you'll prop your feet up
But for now, let's eat up
Be our guest
Be our guest
Be our guest
Please, be our guest"
1991,Belle,0Q4a3PdGEME9w8Jgqa0Gf3,0,,"Little town
It's a quiet village
Every day
Like the one before
Little town
Full of little people
Waking up to say
Bonjour bonjour
Bonjour bonjour bonjour
There goes the baker with his tray, like always
The same old bread and rolls to sell
Every morning just the same
Since the morning that we came
To this poor provincial town
Good morning, Belle
Good morning, monsieur Jean
Have you lost something again?
Well, I believe I have
Problem is, I've, I can't remember what
Oh well, I'm sure it'll come to me
Where you off to?
To return this book to Pere Robert, it's about to lovers in fair Verona
Sound boring
Look there she goes, that girl is strange, no question
Dazed and distracted, can't you tell?
Never part of any crowd
'Cause her head's up on some cloud
No denying she's a funny girl that Belle
Bonjour, good day
How is your family?
Bonjour, good day
How is your wife?
I need six eggs
That's too expensive!
There must be more than this provincial life!
Ah, If it isn't the only bookworm in town!
So, where did you run off to this week?
Two cities in Northern Italy
I didn't want to come back
Have you got any new places to go?
I'm afraid not
But you may re-read any of the old ones that you'd like
Your library makes our small corner of the world feel big
Bon voyage
Look there she goes, that girl is so peculiar
I wonder if she's feeling well
With a dreamy, far-off look
And her nose stuck in a book
What a puzzle to the rest of us is Belle
Oh, isn't this amazing?
It's my favorite part because you'll see
Here's where she meets Prince Charming
But she won't discover that it's him 'til chapter three!
Now it's no wonder that her name means Beauty
Her looks have got no parallel
But behind that fair facade
I'm afraid she's rather odd
Very different from the rest of us
She's nothing like the rest of us
Yes, different from the rest of us is Belle!
Look at her, LeFou
My future wife
Belle is the most beautiful girl in the village
That's makes her the best
But she's so well-read
And you're so athletically-inclined
Yes, ever since the war, I felt like I've been missing something
She's the only girl that ever given me that sense of
Mmm je ne sais quoi?
I don't know what that means
Right from the moment when I met her, saw her
I said she's gorgeous and I fell
Here in town there's only she
Who is beautiful as me
So I'm making plans to woo and marry Belle
Look there he goes
Isn't he dreamy?
Monsieur Gaston
Oh, he's so cute!
Be still my heart
I'm hardly breathing
He's such a tall, dark, strong and handsome brute!
Bonjour, pardon
Good day, mais oui!
You call this bacon, what lovely flowers
Some cheese, ten yards, one pound, excuse me I'll get the knife
Please let me through!
This bread, those fish, it's stale, they smell!
Madame's mistaken Well, maybe so
There must be more than this provincial life!
Just watch, I'm going to make Belle my wife!
Look there she goes the girl is strange, but special
A most peculiar mademoiselle!
It's a pity and a sin
She doesn't quite fit in
'Cause she really is a funny girl
A beauty but a funny girl
She really is a funny girl
That Belle"
1991,When You're Alone,6wumwltdJFMgSivEJ34W2I,0,,"When you're all alone
Far away from home
There's a gift the angel sent
When you're alone
Everyday must end
But the night's our friend
Angels always send a star
When you're alone
At night when I'm alone
I lie awake and wonder
Which of them belongs to me
Which one I wonder?
And any star I choose
Watches over me
So I know I'm not alone
When I'm here on my own
Isn't that a wonder?
When you're alone
You're not alone
Not really alone
The stars are all my friends
Till the night time ends
So I know I'm not alone
When I'm here on my own
Isn't that a wonder?
When you're alone
You're not alone
Not really alone"
